obs,lat,lon,altitude,time,air_temp,dew_point,rel_hum,mixing_ratio,air_press,air_rho,gpt,gpt_height,wind_speed,wind_dir,sensible_heat,latent_heat
72,46.812244,6.943997,673.3745833333332,2023-03-27 02:58:31.372413793,4.394329600000049,1.203636637568252,80.03637917225547,0.0044903112356233,93536.9625,1.170860859134972,6602.849415354913,673.3032600689239,4.949173864980567,251.50891412791745,2.0928072391221413,-0.0422122542266263
73,46.812244,6.943997,675.3108333333333,2023-03-27 02:58:31.752586206,4.396694649999972,1.186829679582047,79.92763299766891,0.0044857100925055,93522.35,1.170671261096058,6621.8335134361605,675.2390993291451,4.98157822987204,251.36706686449745,1.437076589482905,-6.763123243236339
74,46.812244,6.943997,678.3570833333333,2023-03-27 02:58:32.132758620,4.3793704000000275,1.1532253094142675,79.83267621767644,0.004476606722768,93487.875,1.1703192139760594,6651.700660476487,678.2847007363869,4.995583555849833,250.85486497950055,-6.6889707528729305,-8.502662360861105
75,46.812244,6.943997,680.3945833333335,2023-03-27 02:58:32.512931034,4.366347500000018,1.1394351761074972,79.82658286963526,0.0044735988581589,93457.80833333332,1.169999841889848,6671.677439608977,680.3217652928347,5.02010098114824,250.33725680182272,-7.515570500932599,-4.199191341584008
76,46.812244,6.943997,683.4024999999999,2023-03-27 02:58:32.893103448,4.3523832666666635,1.1218293036175169,79.80423508733877,0.0044694960135718,93425.35,1.1696552326227896,6701.168698117608,683.3290367370721,5.055944720602649,250.0927902036696,-5.45726730489205,-3.878818012306272
77,46.812244,6.943997,685.375,2023-03-27 02:58:33.273275862,4.352555066666696,1.114775832460623,79.76337679393214,0.0044680302956522,93409.6,1.169458369652736,6720.508150729932,685.3011120749626,5.090104909399291,249.95951166618227,0.1023662928498452,-2.112724306902403
78,46.812244,6.943997,687.85,2023-03-27 02:58:33.653448275,4.352612899999997,1.112653028151783,79.75113715977537,0.0044688926254999,93377.8625,1.1690601819951425,6744.7743670697855,687.7755774979005,5.136394350153661,249.77463397087277,0.0274540203747863,0.990284591903965
79,46.812244,6.943997,690.4008333333334,2023-03-27 02:58:34.033620689,4.350163466666686,1.106727202920581,79.73168157774593,0.0044686340499845,93344.07916666666,1.1686477114080027,6769.784073970708,690.3258578587702,5.188431591624528,249.72527612452623,-1.1278029203045457,-0.2880140042008176
80,46.812244,6.943997,692.8841666666667,2023-03-27 02:58:34.413793103,4.345548000000008,1.0910612574638208,79.66939508843927,0.0044649419077163,93317.39166666666,1.168335604044805,6794.131956214705,692.8086508863582,5.239975869402625,249.7194805907246,-2.1822991031384227,-4.223158737414527
81,46.812244,6.943997,695.2866666666666,2023-03-27 02:58:34.793965517,4.338681000000008,1.0696023966185066,79.58611907496257,0.0044592965548627,93293.03333333333,1.1680635289286223,6817.687288618478,695.2106263217795,5.2791435775017295,250.0269946160398,-3.355337238052304,-6.673053114532282
